"Temp","Day","GrowthTemp","EvolTemp","Substrate","Generation","Strain","Variate","Vmax","Km","lowerV","upperV","lowerK","upperK","fitV","fitK","logVmax","logKm"
10,"1","16","16","Sucrose","A","MM02","AG",1.37156656560091,1134.62684500203,0.27986173213249,2.46327139906933,-71.469289363698,2340.72297936777,1.59190936969235,2.12597849183372,0.315953565107213,7.03405910493517
4,"7","16","16","Sucrose","A","MM02","AG",0.561471392702392,262.998323549904,0.0713652460459484,1.05157753935884,-205.043429906042,731.040077005851,1.74579204934214,3.55927556600668,-0.57719445409371,5.57214765782248
22,"7","16","16","Sucrose","A","MM02","AG",0.662684499083197,160.079657196108,0.415471384523719,0.909897613642675,17.3655181337757,302.79379625844,0.746095962411946,1.78303903896418,-0.41145627071049,5.07567154881959
34,"7","16","16","Sucrose","A","MM02","AG",1.69112509926891,399.489346213465,1.06888203829451,2.31336816024331,137.604491816515,661.374200610415,0.735892408247505,1.31109806496323,0.52539404664131,5.99018709704965
4,"14","16","16","Sucrose","A","MM02","AG",1.13124593764568,132.538663532678,0.930941753299047,1.33155012199232,73.1080045504266,191.969322514929,0.354130216393978,0.89680486279535,0.123319624994108,4.88687440310749
10,"14","16","16","Sucrose","A","MM02","AG",2.68391204904595,221.289596675011,2.26227916115729,3.10554493693461,146.33527019508,296.243923154941,0.314192775458896,0.677431995052252,0.98727544996074,5.39947223589782
16,"14","16","16","Sucrose","A","MM02","AG",3.14547286717694,237.528313927199,2.79191125265959,3.4990344816943,181.265822654754,293.790805199645,0.224806653528489,0.4737329233911,1.14596423407338,5.47028683290454
22,"14","16","16","Sucrose","A","MM02","AG",5.47416995982445,232.767297125646,4.56070636471038,6.38763355493852,150.378779549401,315.155814701891,0.333735927754557,0.707904577607157,1.70004065869777,5.45003922972516
28,"14","16","16","Sucrose","A","MM02","AG",7.43626321032099,243.052138541091,6.98495027888295,7.88757614175904,212.19817482256,273.906102259622,0.121381645235918,0.253887613610236,2.00636846599458,5.49327598222293
34,"14","16","16","Sucrose","A","MM02","AG",10.5208376894703,224.424734454722,9.66495011032243,11.3767252686181,185.238449261303,263.61101964814,0.162703314015469,0.349215386518141,2.35335783241605,5.41354039241702
4,"21","16","16","Sucrose","A","MM02","AG",3.46580371340207,110.79576796712,2.93499070843851,3.99661671836564,65.4755380400546,156.115997894184,0.306314522608964,0.818085938815173,1.24294455766497,4.70768857834113
10,"21","16","16","Sucrose","A","MM02","AG",6.18924251696628,129.721142307072,5.72907546975496,6.64940956417761,105.13806694538,154.304217668763,0.148698987299299,0.379014167228025,1.82281270715129,4.86538708734447
16,"21","16","16","Sucrose","A","MM02","AG",6.66135612735793,122.617423534017,6.23233852127647,7.0903737334394,102.146884723083,143.087962344951,0.128807887727097,0.333892822421847,1.89632308655042,4.8090691303214
22,"21","16","16","Sucrose","A","MM02","AG",11.960584191422,142.119746202513,11.1258750566311,12.795293326213,117.529627563976,166.70986484105,0.139576649673951,0.346047882797334,2.48161659276621,4.95666998535411
28,"21","16","16","Sucrose","A","MM02","AG",18.105830226504,155.898973192346,17.3292446953592,18.8824157576488,139.786778220725,172.011168163968,0.0857829242216139,0.206700463020273,2.89623399836641,5.04920818971969
34,"21","16","16","Sucrose","A","MM02","AG",26.5492540877529,182.674909977942,25.9970128696557,27.1014953058501,173.963487764178,191.386332191705,0.0416012605304756,0.0953762310852147,3.27900165267004,5.20770812487816
16,"1","22","16","Sucrose","A","MM02","AG",0.317596680372484,219.414257042626,0.103603701286083,0.531589659458886,-100.217829921904,539.046344007155,1.34757692577533,2.91350335454668,-1.14697300189148,5.39096152769264
4,"7","22","16","Sucrose","A","MM02","AG",0.900157465153513,51.0751628856644,0.615445063620171,1.18486986668685,-1.96447698151099,104.11480275284,0.632583548001315,2.07692494239945,-0.105185569680085,3.93329832984524
10,"7","22","16","Sucrose","A","MM02","AG",1.57702943725135,76.4353147088677,1.37849882632704,1.77556004817567,47.9258691067717,104.944760310964,0.251777939250569,0.745975749839847,0.455542974421362,4.33644482378432
16,"7","22","16","Sucrose","A","MM02","AG",1.83718621107555,82.6104688046419,1.06363710555573,2.61073531659537,-18.3066855925317,183.527623201816,0.842102015415148,2.44320498012967,0.608235168039392,4.41413641347227
22,"7","22","16","Sucrose","A","MM02","AG",2.67898092532515,76.2769192741574,2.25641917260241,3.10154267804788,40.6103219672237,111.943516581091,0.315464547528608,0.935187148257507,0.985436470464391,4.33437039284476
28,"7","22","16","Sucrose","A","MM02","AG",4.30609260107627,116.711364361292,3.92382390663868,4.68836129551387,89.458595535739,143.964133186846,0.177547828089925,0.467011399870021,1.4600309038378,4.75970391553922
34,"7","22","16","Sucrose","A","MM02","AG",5.40000842273045,103.763508242728,4.90406817306069,5.89594867240021,77.8245758887752,129.70244059668,0.183681287452138,0.499962516557843,1.68640051333391,4.64211435056544
4,"14","22","16","Sucrose","A","MM02","AG",1.8552061407847,29.4796707482378,1.25774088265214,2.45267139891725,-5.8636630924014,64.8230045888771,0.644095817707723,2.3978106229529,0.617995816992894,3.38370089861012
10,"14","22","16","Sucrose","A","MM02","AG",2.94470910425216,35.789964629444,2.01838722781259,3.87103098069174,-4.36722194399897,75.9471512028869,0.629143214928745,2.24404729030696,1.08001003607959,3.57766753649703
16,"14","22","16","Sucrose","A","MM02","AG",4.17662920053231,61.0870883387224,3.42869044948154,4.92456795158308,26.7285796097513,95.4455970676935,0.358154250779765,1.12490248474297,1.42950450985621,4.11230052369446
