"GrowthTemp","Substrate","Day","CO2","Strain","Generation","EvolTemp"
22,"L",14,0.139729872,"MM31","B","22"
22,"L",21,0.059268648,"MM31","B","22"
22,"R",1,0.006935016,"MM31","B","22"
22,"R",7,0.001931856,"MM31","B","22"
22,"R",14,0.009422136,"MM31","B","22"
22,"R",21,0.001636872,"MM31","B","22"
16,"L",1,0.001295616,"MM31","C","22"
16,"L",7,0.152807496,"MM31","C","22"
16,"L",14,0.133488936,"MM31","C","22"
16,"L",21,0.013228008,"MM31","C","22"
16,"R",1,0.00300768,"MM31","C","22"
16,"R",7,0.01093176,"MM31","C","22"
16,"R",14,0.003626568,"MM31","C","22"
16,"R",21,0.001023768,"MM31","C","22"
22,"L",1,0.001446,"MM31","C","22"
22,"L",7,0.46144752,"MM31","C","22"
22,"L",14,0.086574912,"MM31","C","22"
22,"L",21,0.0124356,"MM31","C","22"
22,"R",1,0.001122096,"MM31","C","22"
22,"R",7,0.006032712,"MM31","C","22"
22,"R",14,0.003649704,"MM31","C","22"
22,"R",21,0.00147492,"MM31","C","22"
16,"L",1,0.006437592,"MM31","F","22"
16,"L",7,0.099750864,"MM31","F","22"
16,"L",14,0.07614636,"MM31","F","22"
16,"L",21,0.054248136,"MM31","F","22"
16,"R",1,0.006125256,"MM31","F","22"
16,"R",7,0.006061632,"MM31","F","22"
16,"R",14,0.002799456,"MM31","F","22"
16,"R",21,0.006576408,"MM31","F","22"
22,"L",1,0.015859728,"MM31","F","22"
22,"L",7,0.212457888,"MM31","F","22"
22,"L",14,0.105147336,"MM31","F","22"
22,"L",21,0.055919712,"MM31","F","22"
22,"R",1,0.007079616,"MM31","F","22"
22,"R",7,0.001289832,"MM31","F","22"
22,"R",14,0.003291096,"MM31","F","22"
22,"R",21,0.007073832,"MM31","F","22"
16,"L",1,0.006443376,"W1099","A","16"
16,"L",7,0.134113608,"W1099","A","16"
16,"L",14,0.38888724,"W1099","A","16"
16,"L",21,0.119971728,"W1099","A","16"
16,"R",1,0.005853408,"W1099","A","16"
16,"R",7,0.005442744,"W1099","A","16"
16,"R",14,0.012053856,"W1099","A","16"
16,"R",21,0.008751192,"W1099","A","16"
22,"L",1,0.005500584,"W1099","A","16"
22,"L",7,0.43680768,"W1099","A","16"
22,"L",14,0.105077928,"W1099","A","16"
22,"L",21,0.026912952,"W1099","A","16"
22,"R",1,0.003823224,"W1099","A","16"
22,"R",7,0.014668224,"W1099","A","16"
22,"R",14,0.011793576,"W1099","A","16"
22,"R",21,0.011521728,"W1099","A","16"
16,"L",1,0.006530136,"W1101","A","16"
16,"L",7,0.31253844,"W1101","A","16"
16,"L",14,0.184960752,"W1101","A","16"
16,"L",21,0.082138584,"W1101","A","16"
16,"R",1,0.003771168,"W1101","A","16"
16,"R",7,0.003424128,"W1101","A","16"
16,"R",14,0.0060732,"W1101","A","16"
16,"R",21,0.010972248,"W1101","A","16"
22,"L",1,0.002273112,"W1101","A","16"
22,"L",7,0.261673944,"W1101","A","16"
22,"L",14,0.090785664,"W1101","A","16"
22,"L",21,0.0240036,"W1101","A","16"
22,"R",1,0.005078352,"W1101","A","16"
22,"R",7,0.017849424,"W1101","A","16"
22,"R",14,0.014309616,"W1101","A","16"
22,"R",21,0.008132304,"W1101","A","16"
16,"L",1,0.002955624,"W1103","A","16"
16,"L",7,0.246502512,"W1103","A","16"
16,"L",14,0.343401864,"W1103","A","16"
16,"L",21,0.165890904,"W1103","A","16"
16,"R",1,0.007108536,"W1103","A","16"
16,"R",7,0.003736464,"W1103","A","16"
16,"R",14,0.021493344,"W1103","A","16"
16,"R",21,0.009931128,"W1103","A","16"
22,"L",1,0.01665792,"W1103","A","16"
22,"L",7,0.333800424,"W1103","A","16"
22,"L",14,0.078298008,"W1103","A","16"
22,"L",21,0.02484228,"W1103","A","16"
22,"R",1,0.001017984,"W1103","A","16"
22,"R",7,0.007386168,"W1103","A","16"
22,"R",14,0.007600176,"W1103","A","16"
22,"R",21,0.013123896,"W1103","A","16"
16,"L",1,0.003250608,"W1111","A","16"
16,"L",7,0.325806936,"W1111","A","16"
16,"L",14,0.165376128,"W1111","A","16"
16,"L",21,0.099791352,"W1111","A","16"
16,"R",1,0.00546588,"W1111","A","16"
16,"R",7,0.004355352,"W1111","A","16"
16,"R",14,0.005945952,"W1111","A","16"
16,"R",21,0.013349472,"W1111","A","16"
22,"L",1,0.00705648,"W1111","A","16"
22,"L",7,0.308194656,"W1111","A","16"
22,"L",14,0.066984504,"W1111","A","16"
22,"L",21,0.025409112,"W1111","A","16"
22,"R",1,0.00676728,"W1111","A","16"
22,"R",7,0.006900312,"W1111","A","16"
22,"R",14,0.020324976,"W1111","A","16"
22,"R",21,0.017913048,"W1111","A","16"
16,"L",1,0.001457568,"W1289","A","16"
16,"L",7,0.118670328,"W1289","A","16"
16,"L",14,0.16782276,"W1289","A","16"
16,"L",21,0.088686072,"W1289","A","16"
16,"R",1,0.006345048,"W1289","A","16"
16,"R",7,0.002712696,"W1289","A","16"
16,"R",14,0.012499224,"W1289","A","16"
16,"R",21,0.007282056,"W1289","A","16"
22,"L",1,0.010104648,"W1289","A","16"
22,"L",7,0.261714432,"W1289","A","16"
22,"L",14,0.133616184,"W1289","A","16"
22,"L",21,0.038544576,"W1289","A","16"
22,"R",1,0.006113688,"W1289","A","16"
22,"R",7,0.002892,"W1289","A","16"
22,"R",14,0.013841112,"W1289","A","16"
22,"R",21,0.012210024,"W1289","A","16"
16,"L",1,0.008051328,"W1303","A","16"
16,"L",7,0.063109224,"W1303","A","16"
16,"L",14,0.208767696,"W1303","A","16"
16,"L",21,0.095141016,"W1303","A","16"
16,"R",1,0.007096968,"W1303","A","16"
16,"R",7,0.019046712,"W1303","A","16"
16,"R",14,0.006113688,"W1303","A","16"
16,"R",21,0.008826384,"W1303","A","16"
22,"L",1,0.00595752,"W1303","A","16"
22,"L",7,0.159933384,"W1303","A","16"
22,"L",14,0.143373792,"W1303","A","16"
22,"L",21,0.070131,"W1303","A","16"
22,"R",1,0.007785264,"W1303","A","16"
22,"R",7,0.008699136,"W1303","A","16"
22,"R",14,0.020174592,"W1303","A","16"
22,"R",21,0.015223488,"W1303","A","16"
16,"L",1,0.0066516,"W792","A","16"
16,"L",7,0.092156472,"W792","A","16"
16,"L",14,0.173225016,"W792","A","16"
16,"L",21,0.096193704,"W792","A","16"
16,"R",1,0.002654856,"W792","A","16"
16,"R",7,0.002232624,"W792","A","16"
16,"R",14,0.007686936,"W792","A","16"
16,"R",21,0.0135924,"W792","A","16"
22,"L",1,0.003603432,"W792","A","16"
22,"L",7,0.20194836,"W792","A","16"
22,"L",14,0.09792312,"W792","A","16"
22,"L",21,0.04667688,"W792","A","16"
22,"R",1,0.003690192,"W792","A","16"
22,"R",7,0.006530136,"W792","A","16"
22,"R",14,0.005859192,"W792","A","16"
22,"R",21,0.005043648,"W792","A","16"
16,"L",1,0.007391952,"W793","A","16"
16,"L",7,0.05543964,"W793","A","16"
16,"L",14,0.283340808,"W793","A","16"
16,"L",21,0.140961864,"W793","A","16"
16,"R",1,0.003175416,"W793","A","16"
16,"R",7,0.00083868,"W793","A","16"
16,"R",14,0.005893896,"W793","A","16"
16,"R",21,0.005384904,"W793","A","16"
22,"L",1,0.003013464,"W793","A","16"
22,"L",7,0.206101272,"W793","A","16"
22,"L",14,0.140904024,"W793","A","16"
22,"L",21,0.039961656,"W793","A","16"
22,"R",1,0.010399632,"W793","A","16"
22,"R",7,0.009960048,"W793","A","16"
22,"R",14,0.009624576,"W793","A","16"
22,"R",21,0.009184992,"W793","A","16"
16,"L",1,0.006865608,"W794","A","16"
16,"L",7,0.119370192,"W794","A","16"
16,"L",14,0.109728264,"W794","A","16"
16,"L",21,0.06729684,"W794","A","16"
16,"R",1,0.009589872,"W794","A","16"
16,"R",7,0.003996744,"W794","A","16"
16,"R",14,0.001162584,"W794","A","16"
16,"R",21,0.005113056,"W794","A","16"
22,"L",1,0.006744144,"W794","A","16"
22,"L",7,0.148376952,"W794","A","16"
22,"L",14,0.107142816,"W794","A","16"
22,"L",21,0.056897208,"W794","A","16"
22,"R",1,0.006645816,"W794","A","16"
22,"R",7,0.003244824,"W794","A","16"
22,"R",14,0.001660008,"W794","A","16"
22,"R",21,0.003707544,"W794","A","16"
16,"L",1,0.002770536,"W795","A","16"
16,"L",7,0.019642464,"W795","A","16"
16,"L",14,0.107570832,"W795","A","16"
16,"L",21,0.174243,"W795","A","16"
16,"R",1,0.00225576,"W795","A","16"
16,"R",7,0.004401624,"W795","A","16"
16,"R",14,0.012048072,"W795","A","16"
16,"R",21,0.005055216,"W795","A","16"
22,"L",1,0.003458832,"W795","A","16"
22,"L",7,0.370650288,"W795","A","16"
22,"L",14,0.098640336,"W795","A","16"
22,"L",21,0.023899488,"W795","A","16"
22,"R",1,0.002770536,"W795","A","16"
22,"R",7,0.005280792,"W795","A","16"
22,"R",14,0.020845536,"W795","A","16"
22,"R",21,0.005182464,"W795","A","16"
